npa,country_code,country_name,state_province_code,state_province_name,region,created_at,updated_at,notes,is_active
201,US,United States,NJ,New Jersey,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
202,US,United States,DC,District of Columbia,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
203,US,United States,CT,Connecticut,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
204,CA,Canada,MB,Manitoba,CA,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
205,US,United States,AL,Alabama,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
206,US,United States,WA,Washington,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
207,US,United States,ME,Maine,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
208,US,United States,ID,Idaho,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
209,US,United States,CA,California,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
210,US,United States,TX,Texas,US,2025-07-12 13:48:49.252+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.252Z,true
212,US,United States,NY,New York,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
213,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
214,US,United States,TX,Texas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
215,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
216,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
217,US,United States,IL,Illinois,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
218,US,United States,MN,Minnesota,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
219,US,United States,IN,Indiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
220,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
223,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
224,US,United States,IL,Illinois,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
225,US,United States,LA,Louisiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
226,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
227,US,United States,MD,Maryland,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
228,US,United States,MS,Mississippi,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
229,US,United States,GA,Georgia,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
231,US,United States,MI,Michigan,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
234,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
235,US,United States,MO,Missouri,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
236,CA,Canada,BC,British Columbia,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
239,US,United States,FL,Florida,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
240,US,United States,MD,Maryland,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
242,BS,Bahamas,BS,Bahamas,Caribbean,2025-06-28 23:26:21.081586+00,2025-07-25 02:02:05.038082+00,Cleared via admin interface,true
246,BB,Barbados,BD,Barbados,Caribbean,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
248,US,United States,MI,Michigan,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
249,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
250,CA,Canada,BC,British Columbia,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
251,US,United States,AL,Alabama,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
252,US,United States,NC,North Carolina,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
253,US,United States,WA,Washington,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
254,US,United States,TX,Texas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
256,US,United States,AL,Alabama,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
257,CA,Canada,BC,British Columbia,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
260,US,United States,IN,Indiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
262,US,United States,WI,Wisconsin,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
263,CA,Canada,QC,Quebec,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
264,AI,Anguilla,AI,Anguilla,Caribbean,2025-07-12 13:48:49.253+00,2025-07-25 02:08:54.580741+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
267,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
268,AG,Antigua and Barbuda,AN,Anigua and Barbuda,Caribbean,2025-07-12 13:48:49.253+00,2025-07-25 02:08:30.968131+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
269,US,United States,MI,Michigan,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
270,US,United States,KY,Kentucky,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
272,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
274,US,United States,WI,Wisconsin,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
276,US,United States,VA,Virginia,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
279,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
281,US,United States,TX,Texas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
283,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
284,VG,British Virgin Islands,BV,British Virgin Islands,Caribbean,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
289,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
301,US,United States,MD,Maryland,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
302,US,United States,DE,Delaware,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
303,US,United States,CO,Colorado,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
304,US,United States,WV,West Virginia,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
305,US,United States,FL,Florida,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
306,CA,Canada,SK,Saskatchewan,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
307,US,United States,WY,Wyoming,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
308,US,United States,NE,Nebraska,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
309,US,United States,IL,Illinois,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
310,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
312,US,United States,IL,Illinois,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
313,US,United States,MI,Michigan,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
314,US,United States,MO,Missouri,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
315,US,United States,NY,New York,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
316,US,United States,KS,Kansas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
317,US,United States,IN,Indiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
318,US,United States,LA,Louisiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
319,US,United States,IA,Iowa,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
320,US,United States,MN,Minnesota,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
321,US,United States,FL,Florida,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
323,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
324,US,United States,FL,Florida,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
325,US,United States,TX,Texas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
326,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
327,US,United States,AR,Arkansas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
329,US,United States,NY,New York,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
330,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
331,US,United States,IL,Illinois,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
332,US,United States,NY,New York,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
334,US,United States,AL,Alabama,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
336,US,United States,NC,North Carolina,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
337,US,United States,LA,Louisiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
339,US,United States,MA,Massachusetts,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
340,US,United States,VI,VI,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
341,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
343,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
345,KY,Cayman Islands,CQ,Cayman Islands,Caribbean,2025-07-12 13:48:49.253+00,2025-07-25 02:09:17.816412+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
346,US,United States,TX,Texas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
347,US,United States,NY,New York,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
350,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
351,US,United States,MA,Massachusetts,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
352,US,United States,FL,Florida,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
353,US,United States,WI,Wisconsin,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
354,CA,Canada,QC,Quebec,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
357,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
360,US,United States,WA,Washington,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
361,US,United States,TX,Texas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
363,US,United States,NY,New York,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
364,US,United States,KY,Kentucky,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
365,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
367,CA,Canada,QC,Quebec,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
368,CA,Canada,AB,Alberta,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
369,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
380,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
382,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
